method,method_label,direction,seed,total_pairs,genuine_pairs,impostor_pairs,min_empirical_far_step,roc_points,reported_eer,nearest_eer,nearest_eer_threshold,interpolated_eer,eer_interpolation_status,reported_tar_far_1e_2,nearest_far_0.01,nearest_far_abs_error_0.01,tar_at_nearest_far_0.01,threshold_at_nearest_far_0.01,max_far_le_0.01,tar_at_max_far_le_0.01,threshold_at_max_far_le_0.01,reported_tar_far_1e_3,nearest_far_0.001,nearest_far_abs_error_0.001,tar_at_nearest_far_0.001,threshold_at_nearest_far_0.001,max_far_le_0.001,tar_at_max_far_le_0.001,threshold_at_max_far_le_0.001,verdict,notes,metrics_path,scores_path
B5,ResNet18 + BNNeck + CE,S1->S2,42,1440000,12000,1428000,7.002801120448179e-07,34939,0.051313725488889156,0.051313725490196076,0.2075732946395874,0.051313725488889156,brentq_interp1d,0.868,0.01,0.0,0.868,0.3012093603610992,0.01,0.8680833333333333,0.3012093305587768,0.7156666666666667,0.0009992997198879552,7.002801120448501e-07,0.7156666666666667,0.4066362977027893,0.0009992997198879552,0.71575,0.4066219627857208,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/scores.csv
B5,ResNet18 + BNNeck + CE,S1->S2,2026,1440000,12000,1428000,7.002801120448179e-07,33902,0.04302240896496534,0.04302240896358543,0.2190420627593994,0.04302240896496534,brentq_interp1d,0.8923333333333333,0.009997899159663865,2.1008403361354178e-06,0.8923333333333333,0.2980141937732696,0.009997899159663865,0.8924166666666666,0.2980124354362488,0.7418333333333333,0.0010021008403361344,2.1008403361343336e-06,0.7418333333333333,0.3980564475059509,0.0009978991596638655,0.7418333333333333,0.3981024622917175,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B5,ResNet18 + BNNeck + CE,S1->S2,2705,1440000,12000,1428000,7.002801120448179e-07,33328,0.03900000000000011,0.03899229691876751,0.2081074118614196,0.03900000000000011,brentq_interp1d,0.9131666666666667,0.009988795518207283,1.1204481792717602e-05,0.9131666666666667,0.2770788073539734,0.009988795518207283,0.91325,0.2770754694938659,0.7930833333333334,0.001,0.0,0.7930833333333334,0.3741862177848816,0.001,0.7931666666666667,0.3741798996925354,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B5,ResNet18 + BNNeck + CE,S2->S1,42,1440000,12000,1428000,7.002801120448179e-07,34073,0.045500000000000006,0.04543417366946779,0.2075758278369903,0.045500000000000006,brentq_interp1d,0.8904166666666666,0.010004901960784313,4.9019607843130836e-06,0.8904166666666666,0.2877329587936401,0.009989495798319328,0.8904166666666666,0.2878090739250183,0.7535833333333334,0.001,0.0,0.7535833333333334,0.384175956249237,0.001,0.7536666666666667,0.3841686844825744,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42/scores.csv
B5,ResNet18 + BNNeck + CE,S2->S1,2026,1440000,12000,1428000,7.002801120448179e-07,36056,0.05290826330530413,0.052908263305322126,0.2257861942052841,0.05290826330530413,brentq_interp1d,0.8481666666666666,0.00999859943977591,1.4005602240897003e-06,0.8481666666666666,0.3272433280944824,0.00999859943977591,0.84825,0.3272432684898376,0.6714166666666667,0.001,0.0,0.6714166666666667,0.4334200024604797,0.001,0.6715,0.4334110617637634,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026/metrics.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B5,ResNet18 + BNNeck + CE,S2->S1,2705,1440000,12000,1428000,7.002801120448179e-07,35767,0.051749999999999824,0.051782913165266106,0.2156504988670349,0.051749999999999824,brentq_interp1d,0.8561666666666666,0.010007002801120449,7.002801120448501e-06,0.8561666666666666,0.3090954124927521,0.009974089635854342,0.8561666666666666,0.3092922568321228,0.6830833333333334,0.001,0.0,0.6830833333333334,0.4172189235687256,0.001,0.6831666666666667,0.4172068536281585,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S1->S2,42,1440000,12000,1428000,7.002801120448179e-07,36196,0.05725000000000012,0.05725,0.2157407104969024,0.05725000000000012,brentq_interp1d,0.8465833333333334,0.010011204481792718,1.1204481792717602e-05,0.8465833333333334,0.3178770244121551,0.009986694677871149,0.8465833333333334,0.3179987072944641,0.6585833333333333,0.001,0.0,0.6585833333333333,0.4218847453594208,0.001,0.6588333333333334,0.4218512773513794,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S1->S2,2026,1440000,12000,1428000,7.002801120448179e-07,34348,0.04917717086902308,0.04917717086834734,0.1898491829633712,0.04917717086902308,brentq_interp1d,0.8846666666666667,0.009992296918767508,7.703081232492484e-06,0.8846666666666667,0.269488662481308,0.009992296918767508,0.88475,0.2694881856441498,0.7429166666666667,0.001,0.0,0.7429166666666667,0.3666330277919769,0.001,0.7431666666666666,0.3665907680988312,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S1->S2,2705,1440000,12000,1428000,7.002801120448179e-07,37207,0.05400000000032687,0.05402450980392157,0.2249318808317184,0.05400000000032687,brentq_interp1d,0.8524166666666667,0.00999719887955182,2.8011204481794005e-06,0.8524166666666667,0.3215201199054718,0.00999719887955182,0.8525,0.3215122520923614,0.67,0.0010014005602240897,1.4005602240897003e-06,0.67,0.4258424341678619,0.0009978991596638655,0.67,0.4259303510189056,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S2->S1,42,1440000,12000,1428000,7.002801120448179e-07,36416,0.05624999999999996,0.05626260504201681,0.2055041342973709,0.05624999999999996,brentq_interp1d,0.8403333333333334,0.00999859943977591,1.4005602240897003e-06,0.8403333333333334,0.3003450632095337,0.00999859943977591,0.8404166666666667,0.3003423810005188,0.6795,0.001,0.0,0.6795,0.3950197696685791,0.001,0.6796666666666666,0.3949648737907409,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S2->S1,2026,1440000,12000,1428000,7.002801120448179e-07,34428,0.045416666666667695,0.04536624649859944,0.2001036256551742,0.045416666666667695,brentq_interp1d,0.89225,0.00999859943977591,1.4005602240897003e-06,0.89225,0.2764503359794616,0.00999859943977591,0.8923333333333333,0.2764497697353363,0.758,0.0010014005602240897,1.4005602240897003e-06,0.758,0.3702038526535034,0.000996498599439776,0.758,0.370294839143753,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026/metrics.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S2->S1,2705,1440000,12000,1428000,7.002801120448179e-07,36257,0.05408333333333255,0.05416316526610644,0.2054360210895538,0.05408333333333255,brentq_interp1d,0.85775,0.009996498599439775,3.501400560225118e-06,0.85775,0.2972658574581146,0.009996498599439775,0.8578333333333333,0.2972637116909027,0.6726666666666666,0.0009985994397759103,1.4005602240897003e-06,0.6726666666666666,0.4015226364135742,0.0009985994397759103,0.67275,0.4015155136585235,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,42,1440000,12000,1428000,7.002801120448179e-07,36032,0.05158333333333272,0.051583333333333335,0.2212364375591278,0.05158333333333272,brentq_interp1d,0.8518333333333333,0.010008403361344538,8.403361344538202e-06,0.8518333333333333,0.3148917257785797,0.009988795518207283,0.8518333333333333,0.3149837255477905,0.6775,0.0009992997198879552,7.002801120448501e-07,0.6775,0.4201521575450897,0.0009992997198879552,0.6778333333333333,0.4200862944126129,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,2026,1440000,12000,1428000,7.002801120448179e-07,34245,0.047249999999988634,0.04727731092436975,0.1990804374217987,0.047249999999988634,brentq_interp1d,0.8861666666666667,0.010008403361344538,8.403361344538202e-06,0.8861666666666667,0.2792447507381439,0.009972689075630252,0.8861666666666667,0.2794004082679748,0.7579166666666667,0.0010007002801120449,7.002801120448501e-07,0.7579166666666667,0.3723478019237518,0.0009985994397759103,0.7579166666666667,0.3724139630794525,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,2705,1440000,12000,1428000,7.002801120448179e-07,37918,0.061000000000000075,0.06096358543417367,0.2307956218719482,0.061000000000000075,brentq_interp1d,0.82025,0.01000140056022409,1.4005602240897003e-06,0.82025,0.3430658876895904,0.009993697478991597,0.82025,0.3430901169776916,0.6089166666666667,0.0010007002801120449,7.002801120448501e-07,0.6089166666666667,0.4530604183673858,0.0009985994397759103,0.6089166666666667,0.4530939757823944,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,42,1440000,12000,1428000,7.002801120448179e-07,35051,0.04566946778806505,0.045669467787114844,0.2013645470142364,0.04566946778806505,brentq_interp1d,0.8819166666666667,0.009995798319327731,4.201680672269101e-06,0.8819166666666667,0.2805023193359375,0.009995798319327731,0.882,0.2805001139640808,0.7206666666666667,0.0009992997198879552,7.002801120448501e-07,0.7206666666666667,0.3775036931037903,0.0009992997198879552,0.72075,0.3774977028369903,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42/scores.csv
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,2026,1440000,12000,1428000,7.002801120448179e-07,33636,0.0393683473392071,0.03936834733893557,0.1992129534482956,0.0393683473392071,brentq_interp1d,0.91175,0.009997899159663865,2.1008403361354178e-06,0.91175,0.2631633579730987,0.009997899159663865,0.9118333333333334,0.2631582021713257,0.7954166666666667,0.0009978991596638655,2.1008403361345504e-06,0.7954166666666667,0.3547038435935974,0.0009978991596638655,0.7955,0.354702740907669,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026/metrics.json,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,2705,1440000,12000,1428000,7.002801120448179e-07,36297,0.04741666666666663,0.04742577030812325,0.2152960300445556,0.04741666666666663,brentq_interp1d,0.87025,0.009995798319327731,4.201680672269101e-06,0.87025,0.2956251800060272,0.009995798319327731,0.8703333333333333,0.2956186830997467,0.7036666666666667,0.0010007002801120449,7.002801120448501e-07,0.7036666666666667,0.3951306641101837,0.0009985994397759103,0.7036666666666667,0.3951799571514129,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705/scores.csv
