dataset,protocol,direction,seed,method,run_dir,config_path,checkpoint_path,rank1,rank5,macro_f1,eer,tar_far_1e_2,tar_far_1e_3,commit_hash,metrics_path
iitd,iitd_subject_disjoint_within_session,within,2026,B1,b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2026,configs/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2026.yaml,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2026/checkpoints/best.pt,0.9128788113594055,0.9318181872367859,0.9219838837816365,0.023688663282568984,0.9576988155668359,0.8815566835871405,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2026/metrics.json
iitd,iitd_subject_disjoint_within_session,within,2705,B1,b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2705,configs/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2705.yaml,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2705/checkpoints/best.pt,0.915057897567749,0.92277991771698,0.9240144775859063,0.019834710743568396,0.9768595041322314,0.9289256198347108,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2705/metrics.json
iitd,iitd_subject_disjoint_within_session,within,42,B1,b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed42,configs/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed42.yaml,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed42/checkpoints/best.pt,0.8677042722702026,0.9066147804260254,0.8634888207921914,0.04444444444444436,0.9145299145299145,0.770940170940171,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed42/metrics.json
tongji,tongji_subject_disjoint_cross_session,s1_to_s2,2026,B1,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,0.9291666746139526,0.9691666960716248,0.9227006884780068,0.03911064425774779,0.8810833333333333,0.6809166666666666,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/metrics.json
tongji,tongji_subject_disjoint_cross_session,s1_to_s2,2705,B1,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,0.949999988079071,0.9816666841506958,0.9464543357673321,0.03900910364148082,0.9026666666666666,0.7560833333333333,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/metrics.json
tongji,tongji_subject_disjoint_cross_session,s1_to_s2,42,B1,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,0.871666669845581,0.934166669845581,0.8547217554175813,0.05674999999999821,0.8174166666666667,0.5986666666666667,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/metrics.json
tongji,tongji_subject_disjoint_cross_session,s2_to_s1,2026,B1,b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,0.9366666674613953,0.9766666889190674,0.9314082408902975,0.04324999999999815,0.88725,0.7028333333333333,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/metrics.json
tongji,tongji_subject_disjoint_cross_session,s2_to_s1,2705,B1,b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,0.9608333110809326,0.9725000262260437,0.954994052794396,0.0388984593834199,0.91875,0.8053333333333333,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/metrics.json
tongji,tongji_subject_disjoint_cross_session,s2_to_s1,42,B1,b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,0.9549999833106995,0.9833333492279053,0.9524907526055056,0.0382731092447879,0.91025,0.7619166666666667,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/metrics.json
iitd,iitd_subject_disjoint_within_session,within,2026,B6,b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2026,configs/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2026.yaml,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2026/checkpoints/best.pt,0.9053030014038086,0.9280303120613098,0.9095594792224007,0.021996615905245362,0.961082910321489,0.8527918781725888,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2026/metrics.json
iitd,iitd_subject_disjoint_within_session,within,2705,B6,b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2705,configs/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2705.yaml,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2705/checkpoints/best.pt,0.9034749269485474,0.9343629479408264,0.9111416361416361,0.01818181818156461,0.9735537190082645,0.8859504132231405,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2705/metrics.json
iitd,iitd_subject_disjoint_within_session,within,42,B6,b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed42,configs/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed42.yaml,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed42/checkpoints/best.pt,0.8910505771636963,0.9105058312416077,0.8808818342151675,0.046153846153845664,0.9247863247863248,0.788034188034188,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed42/metrics.json
tongji,tongji_subject_disjoint_cross_session,s1_to_s2,2026,B6,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,0.934166669845581,0.9666666388511658,0.9275814537456152,0.04917717086902308,0.8846666666666667,0.7429166666666667,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026/metrics.json
tongji,tongji_subject_disjoint_cross_session,s1_to_s2,2705,B6,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,0.9075000286102295,0.9441666603088379,0.9007805070864534,0.05400000000032687,0.8524166666666667,0.67,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705/metrics.json
tongji,tongji_subject_disjoint_cross_session,s1_to_s2,42,B6,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,0.9049999713897705,0.9508333206176758,0.8938464429167965,0.05725000000000012,0.8465833333333334,0.6585833333333333,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42/metrics.json
tongji,tongji_subject_disjoint_cross_session,s2_to_s1,2026,B6,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,0.9483333230018616,0.9750000238418579,0.942051570869716,0.045416666666667695,0.89225,0.758,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026/metrics.json
tongji,tongji_subject_disjoint_cross_session,s2_to_s1,2705,B6,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,0.9233333468437195,0.9599999785423279,0.9140043732235817,0.05408333333333255,0.85775,0.6726666666666666,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705/metrics.json
tongji,tongji_subject_disjoint_cross_session,s2_to_s1,42,B6,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,0.9141666889190674,0.9608333110809326,0.9060566362287251,0.05624999999999996,0.8403333333333334,0.6795,75e66be664a050f5af1965d8fa44c954d7458065,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42/metrics.json
