method,dataset,direction,seed,num_genuine_pairs,num_impostor_pairs,genuine_mean,genuine_std,impostor_mean,impostor_std,impostor_q0.990,impostor_q0.999,genuine_q0.001,genuine_q0.010,d_prime
M0,Tongji,S1->S2,42,12000,1428000,0.4961636960506439,0.171818345785141,0.027486877515912056,0.12028028815984726,0.33063507080078125,0.4344416558742523,-0.02968435175716877,0.07868267595767975,3.1602174086810098
M0,Tongji,S1->S2,2026,12000,1428000,0.500540018081665,0.15978224575519562,0.02649705298244953,0.1104847714304924,0.3083021342754364,0.4088439345359802,0.05417867377400398,0.12222936004400253,3.451020783672731
M0,Tongji,S1->S2,2705,12000,1428000,0.5145373940467834,0.15674720704555511,0.040017031133174896,0.10062603652477264,0.29111355543136597,0.38629019260406494,0.04696694388985634,0.1351112276315689,3.602754048743572
M0,Tongji,S2->S1,42,12000,1428000,0.4858977794647217,0.15759828686714172,0.027179790660738945,0.10762812942266464,0.29798105359077454,0.39407119154930115,0.01410130225121975,0.1062023714184761,3.3992619429185393
M0,Tongji,S2->S1,2026,12000,1428000,0.49433255195617676,0.15658901631832123,0.029946139082312584,0.10733209550380707,0.3035587966442108,0.3990243077278137,0.01866278238594532,0.12182805687189102,3.4593962570424144
M0,Tongji,S2->S1,2705,12000,1428000,0.5038357973098755,0.16206569969654083,0.03721147030591965,0.10724730044603348,0.3101353645324707,0.4099934995174408,0.054281484335660934,0.13588199019432068,3.395662762889704
M1,Tongji,S1->S2,42,12000,1428000,0.5756217241287231,0.15465281903743744,0.032082535326480865,0.161577507853508,0.43615785241127014,0.5512222051620483,0.015713363885879517,0.1683715283870697,3.4367919484951126
M1,Tongji,S1->S2,2026,12000,1428000,0.5447792410850525,0.15683183073997498,0.030868416652083397,0.12171560525894165,0.35010233521461487,0.4658125638961792,0.04714712128043175,0.1806609034538269,3.660956110155496
M1,Tongji,S1->S2,2705,12000,1428000,0.5499129891395569,0.1567430943250656,0.0272319708019495,0.11820995807647705,0.33356180787086487,0.4436054825782776,-0.005187015049159527,0.14744353294372559,3.76517051451657
M1,Tongji,S2->S1,42,12000,1428000,0.5373873114585876,0.14935731887817383,0.0258148442953825,0.12206468731164932,0.33262717723846436,0.43182075023651123,0.055909957736730576,0.16923362016677856,3.7506584627184476
M1,Tongji,S2->S1,2026,12000,1428000,0.5406265258789062,0.15655460953712463,0.02723883092403412,0.12361088395118713,0.34338879585266113,0.45698869228363037,0.0656609758734703,0.1556522399187088,3.6398120669296867
M1,Tongji,S2->S1,2705,12000,1428000,0.5409579873085022,0.16036304831504822,0.0349297896027565,0.1039009764790535,0.3019358813762665,0.40552330017089844,0.05420847237110138,0.13383397459983826,3.7451875293389874
M2,Tongji,S1->S2,42,12000,1428000,0.48138347268104553,0.15678748488426208,0.02965918555855751,0.10888242721557617,0.3058338761329651,0.40694811940193176,-0.0026340836193412542,0.10489998757839203,3.346670617489829
M2,Tongji,S1->S2,2026,12000,1428000,0.4832221269607544,0.16140791773796082,0.03619855269789696,0.10241720080375671,0.3001609742641449,0.39531344175338745,0.0170438215136528,0.1054057702422142,3.307123876256116
M2,Tongji,S1->S2,2705,12000,1428000,0.488734632730484,0.15992619097232819,0.03321149945259094,0.0946035385131836,0.2728429138660431,0.3663748800754547,0.020652536302804947,0.10675633698701859,3.466976859410208
M2,Tongji,S2->S1,42,12000,1428000,0.47973889112472534,0.15066567063331604,0.036725230515003204,0.1062467023730278,0.30462491512298584,0.3980540931224823,-0.018779242411255836,0.10977772623300552,3.3983341360373713
M2,Tongji,S2->S1,2026,12000,1428000,0.48800894618034363,0.164409339427948,0.04773343354463577,0.10081475973129272,0.30547937750816345,0.4048880636692047,0.008422287181019783,0.09922654181718826,3.228515036347083
M2,Tongji,S2->S1,2705,12000,1428000,0.48996230959892273,0.16245467960834503,0.04239823669195175,0.10496930032968521,0.3094078004360199,0.41064634919166565,-0.014797437004745007,0.10092956572771072,3.272471812905407
M4,Tongji,S1->S2,42,12000,1428000,0.49072590470314026,0.16103090345859528,0.017322460189461708,0.11106964200735092,0.30120718479156494,0.4065687358379364,0.0009605074301362038,0.08960786461830139,3.4224084187759374
M4,Tongji,S1->S2,2026,12000,1428000,0.5001510977745056,0.15554331243038177,0.023323040455579758,0.10795675218105316,0.29800939559936523,0.3980676829814911,0.02437133714556694,0.1237572431564331,3.5615743766822066
M4,Tongji,S1->S2,2705,12000,1428000,0.5077441930770874,0.16072218120098114,0.017842639237642288,0.10273216664791107,0.27702000737190247,0.3741581439971924,-0.025442391633987427,0.12620331346988678,3.6321145436361113
M4,Tongji,S2->S1,42,12000,1428000,0.4925283193588257,0.15695108473300934,0.018251795321702957,0.10621412843465805,0.28773707151412964,0.3840438723564148,0.01695435121655464,0.11563301086425781,3.539225076186678
M4,Tongji,S2->S1,2026,12000,1428000,0.5000077486038208,0.16046491265296936,0.023152543231844902,0.11727437376976013,0.3272309899330139,0.43340611457824707,-0.0006956165889278054,0.10322938114404678,3.39305200353269
M4,Tongji,S2->S1,2705,12000,1428000,0.4970971941947937,0.16585242748260498,0.023858660832047462,0.11238133907318115,0.30913466215133667,0.41720065474510193,-0.02278546243906021,0.10872727632522583,3.3406028315514082
M6,Tongji,S1->S2,42,12000,1428000,0.4833747148513794,0.16073013842105865,0.027230901643633842,0.11394814401865005,0.31791481375694275,0.4217820465564728,-0.014193114824593067,0.09870488941669464,3.274147286909131
M6,Tongji,S1->S2,2026,12000,1428000,0.4762626886367798,0.16222339868545532,0.01952640898525715,0.0986039862036705,0.26943841576576233,0.3665822446346283,0.012035416439175606,0.0908512994647026,3.402460361644923
M6,Tongji,S1->S2,2705,12000,1428000,0.49511009454727173,0.1602237969636917,0.03502940014004707,0.11230095475912094,0.3214927017688751,0.42584407329559326,0.019706211984157562,0.11325562000274658,3.3254089743035506
M6,Tongji,S2->S1,42,12000,1428000,0.4685690402984619,0.15950588881969452,0.023403314873576164,0.11057648807764053,0.30032479763031006,0.39493244886398315,-0.023561453446745872,0.0935017317533493,3.2437173950934097
M6,Tongji,S2->S1,2026,12000,1428000,0.4824863374233246,0.15887165069580078,0.023737600073218346,0.09947074949741364,0.2764241397380829,0.37021496891975403,0.0069417101331055164,0.1089843139052391,3.461164007911691
M6,Tongji,S2->S1,2705,12000,1428000,0.48039036989212036,0.1672031432390213,0.02951676771044731,0.10463447868824005,0.2972424328327179,0.4014042019844055,-0.030577590689063072,0.0762835219502449,3.2327015875008933
M7,Tongji,S1->S2,42,12000,1428000,0.4909774661064148,0.1597757637500763,0.03226765990257263,0.1103862076997757,0.31492558121681213,0.42007333040237427,0.006030972581356764,0.11006973683834076,3.340451139433062
M7,Tongji,S1->S2,2026,12000,1428000,0.4846801459789276,0.15895038843154907,0.021912535652518272,0.10116975009441376,0.2792700529098511,0.3723478317260742,0.04412687197327614,0.11602403968572617,3.473445159300232
M7,Tongji,S1->S2,2705,12000,1428000,0.4985544979572296,0.16659818589687347,0.03325529769062996,0.12189130485057831,0.34306737780570984,0.45306041836738586,-0.05112330615520477,0.09975051879882812,3.1877119704254304
M7,Tongji,S2->S1,42,12000,1428000,0.4771707057952881,0.15883029997348785,0.021215148270130157,0.10204160958528519,0.28047695755958557,0.37744438648223877,0.03406596928834915,0.11785703152418137,3.4156344048598335
M7,Tongji,S2->S1,2026,12000,1428000,0.4815220534801483,0.15385830402374268,0.02564145065844059,0.09422176331281662,0.26315009593963623,0.35466378927230835,0.03218036890029907,0.11835740506649017,3.5734674076006723
M7,Tongji,S2->S1,2705,12000,1428000,0.48671361804008484,0.16272525489330292,0.03199990093708038,0.10513246059417725,0.2955965995788574,0.3951306641101837,-0.016382446512579918,0.10201445966959,3.31932835548165
M3,Tongji,S1->S2,42,12000,1428000,0.4861486852169037,0.15285852551460266,0.03322959318757057,0.11169329285621643,0.3109644949436188,0.4064422845840454,-0.011970562860369682,0.09570270776748657,3.383333715792122
M3,Tongji,S1->S2,2026,12000,1428000,0.48114100098609924,0.16068629920482635,0.03385942801833153,0.10160195827484131,0.2899690568447113,0.38287487626075745,-0.00948153156787157,0.10172870755195618,3.3272362354485705
M3,Tongji,S1->S2,2705,12000,1428000,0.48863857984542847,0.1637580245733261,0.030072899535298347,0.10426288843154907,0.29468145966529846,0.3969738483428955,-0.014170817099511623,0.08537731319665909,3.340551905674195
M3,Tongji,S2->S1,42,12000,1428000,0.4748440086841583,0.15420588850975037,0.027498917654156685,0.09918142110109329,0.2718997001647949,0.36263227462768555,-0.027125248685479164,0.101384237408638,3.4504997922871112
M3,Tongji,S2->S1,2026,12000,1428000,0.48206010460853577,0.1605353057384491,0.029231524094939232,0.0986773818731308,0.27799880504608154,0.37560299038887024,0.0067215049639344215,0.09557091444730759,3.3984490870587467
M3,Tongji,S2->S1,2705,12000,1428000,0.4817716181278229,0.16310517489910126,0.032502155750989914,0.10196559876203537,0.28977301716804504,0.3830098509788513,-0.15050604939460754,0.08744056522846222,3.3030822189449633
M1,IITD,within,42,714,64974,0.6239893436431885,0.17901302874088287,0.03560508042573929,0.12219011038541794,0.3546150028705597,0.5133929252624512,-0.1847839504480362,0.010488804429769516,3.839172489776346
M1,IITD,within,2026,753,68523,0.6558010578155518,0.16265937685966492,0.030952226370573044,0.11029735207557678,0.32231152057647705,0.4730411171913147,-0.027914753183722496,0.15470103919506073,4.496387210891034
M1,IITD,within,2705,726,66066,0.6676324605941772,0.15221425890922546,0.021969877183437347,0.10529203712940216,0.2971205413341522,0.43951115012168884,0.07413234561681747,0.2054227888584137,4.933496993459205
M6,IITD,within,42,714,64974,0.5647910237312317,0.1858213245868683,0.015578162856400013,0.09682849794626236,0.2666197121143341,0.39919257164001465,-0.12337487936019897,0.07991383224725723,3.7067825481985657
M6,IITD,within,2026,753,68523,0.5833596587181091,0.1715940237045288,0.015433119609951973,0.09574561566114426,0.26894524693489075,0.4141581058502197,0.007496897131204605,0.10443985462188721,4.087403575952337
M6,IITD,within,2705,726,66066,0.5980107188224792,0.164961576461792,0.019757339730858803,0.09039564430713654,0.24987001717090607,0.3808680474758148,-0.10268491506576538,0.1778017282485962,4.347419915117129
