method,method_label,direction,seed,status,Rank-1,Rank-5,Macro-F1,EER,TAR@FAR=1e-2,TAR@FAR=1e-3,config,metrics_path
B0,ResNet18 + CE,S1->S2,42,OK,0.8958333135,0.9416666627,0.8893457308,0.0644467787,0.8259166666666666,0.6556666666666666,configs/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42/metrics.json
B0,ResNet18 + CE,S1->S2,2026,OK,0.9449999928,0.9800000191,0.9411692387,0.0477492997,0.8760833333333333,0.7130833333333333,configs/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026/metrics.json
B0,ResNet18 + CE,S1->S2,2705,OK,0.9474999905,0.9808333516,0.9438738254,0.0403333333,0.9105833333333332,0.7873333333333333,configs/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B0,ResNet18 + CE,S2->S1,42,OK,0.926666677,0.9708333611,0.9198865521,0.0499166667,0.8706666666666667,0.7151666666666666,configs/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42/metrics.json
B0,ResNet18 + CE,S2->S1,2026,OK,0.9350000024,0.9674999714,0.9286828396,0.0420287115,0.8811666666666667,0.7114166666666667,configs/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B0,ResNet18 + CE,S2->S1,2705,OK,0.9283333421,0.9633333087,0.9196904052,0.0466134454,0.8678333333333333,0.7088333333333333,configs/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/metrics.json
B1,ResNet18 + CE + SupCon,S1->S2,42,OK,0.8716666698,0.9341666698,0.8547217554,0.05675,0.8175,0.5988333333333333,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/metrics.json
B1,ResNet18 + CE + SupCon,S1->S2,2026,OK,0.9291666746,0.9691666961,0.9227006885,0.0391106443,0.8811666666666667,0.681,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/metrics.json
B1,ResNet18 + CE + SupCon,S1->S2,2705,OK,0.9499999881,0.9816666842,0.9464543358,0.0390091036,0.90275,0.75625,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B1,ResNet18 + CE + SupCon,S2->S1,42,OK,0.9549999833,0.9833333492,0.9524907526,0.0382731092,0.9104166666666668,0.762,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/metrics.json
B1,ResNet18 + CE + SupCon,S2->S1,2026,OK,0.9366666675,0.9766666889,0.9314082409,0.04325,0.88725,0.7028333333333333,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B1,ResNet18 + CE + SupCon,S2->S1,2705,OK,0.9608333111,0.9725000262,0.9549940528,0.0388984594,0.91875,0.8053333333333333,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/metrics.json
B4,ResNet18 + ArcFace,S1->S2,42,OK,0.9183333516,0.9608333111,0.9085577447,0.05375,0.86225,0.68775,configs/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42/metrics.json
B4,ResNet18 + ArcFace,S1->S2,2026,OK,0.926666677,0.9708333611,0.9183265044,0.0537065826,0.8601666666666666,0.7109166666666666,configs/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2026/metrics.json
B4,ResNet18 + ArcFace,S1->S2,2705,OK,0.9458333254,0.9674999714,0.9384223686,0.0405,0.9065,0.76875,configs/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B4,ResNet18 + ArcFace,S2->S1,42,OK,0.9291666746,0.9741666913,0.922841899,0.0463326331,0.8788333333333334,0.7029166666666666,configs/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed42/metrics.json
B4,ResNet18 + ArcFace,S2->S1,2026,OK,0.9233333468,0.9633333087,0.9145679769,0.0563739496,0.85475,0.6928333333333333,configs/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B4,ResNet18 + ArcFace,S2->S1,2705,OK,0.9150000215,0.9466666579,0.90357592,0.0525,0.8580833333333333,0.6848333333333333,configs/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2705/metrics.json
B5,ResNet18 + BNNeck + CE,S1->S2,42,OK,0.9375,0.9649999738,0.930540068,0.0513137255,0.8680833333333333,0.71575,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/metrics.json
B5,ResNet18 + BNNeck + CE,S1->S2,2026,OK,0.9399999976,0.9733333588,0.9366773752,0.043022409,0.8924166666666666,0.7418333333333333,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/metrics.json
B5,ResNet18 + BNNeck + CE,S1->S2,2705,OK,0.9474999905,0.9800000191,0.942251169,0.039,0.91325,0.7931666666666667,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B5,ResNet18 + BNNeck + CE,S2->S1,42,OK,0.9583333135,0.9858333468,0.9559526159,0.0455,0.8904166666666666,0.7536666666666667,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42/metrics.json
B5,ResNet18 + BNNeck + CE,S2->S1,2026,OK,0.9183333516,0.9599999785,0.9098826752,0.0529082633,0.84825,0.6715,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B5,ResNet18 + BNNeck + CE,S2->S1,2705,OK,0.9275000095,0.9633333087,0.916932416,0.05175,0.8561666666666666,0.6831666666666667,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S1->S2,42,OK,0.9049999714,0.9508333206,0.8938464429,0.05725,0.8465833333333334,0.6588333333333334,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S1->S2,2026,OK,0.9341666698,0.9666666389,0.9275814537,0.0491771709,0.88475,0.7431666666666666,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S1->S2,2705,OK,0.9075000286,0.9441666603,0.9007805071,0.054,0.8525,0.67,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S2->S1,42,OK,0.9141666889,0.9608333111,0.9060566362,0.05625,0.8404166666666667,0.6796666666666666,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S2->S1,2026,OK,0.948333323,0.9750000238,0.9420515709,0.0454166667,0.8923333333333333,0.758,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S2->S1,2705,OK,0.9233333468,0.9599999785,0.9140043732,0.0540833333,0.8578333333333333,0.67275,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,42,OK,0.9108333588,0.9608333111,0.8996183258,0.0515833333,0.8518333333333333,0.6778333333333333,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed42/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,2026,OK,0.9399999976,0.9758333564,0.9317558879,0.04725,0.8861666666666667,0.7579166666666667,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2026/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,2705,OK,0.8758333325,0.9283333421,0.8616476113,0.061,0.82025,0.6089166666666667,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,42,OK,0.9350000024,0.9708333611,0.9256992713,0.0456694678,0.882,0.72075,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,2026,OK,0.9524999857,0.9708333611,0.946211022,0.0393683473,0.9118333333333334,0.7955,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,2705,OK,0.9333333373,0.9708333611,0.9258979587,0.0474166667,0.8703333333333333,0.7036666666666667,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705/metrics.json
