method,method_label,direction,n,Rank-1_mean,Rank-1_std,Rank-5_mean,Rank-5_std,Macro-F1_mean,Macro-F1_std,EER_mean,EER_std,TAR@FAR=1e-2_mean,TAR@FAR=1e-2_std,TAR@FAR=1e-3_mean,TAR@FAR=1e-3_std
B0,ResNet18 + CE,ALL,6,0.9297222197,0.0186388721,0.9673611124,0.0143509368,0.9237747653,0.0197372122,0.0485147059,0.0085906933,0.8720000000,0.0273202713,0.7151666667,0.0419699628
B0,ResNet18 + CE,S1->S2,3,0.9294444323,0.0291349099,0.9675000111,0.0223762157,0.9247962650,0.0307308311,0.0508431373,0.0123508475,0.8708333333,0.0425691431,0.7186111111,0.0660124322
B0,ResNet18 + CE,S2->S1,3,0.9300000072,0.0044095813,0.9672222137,0.0037577332,0.9227532656,0.0051360981,0.0461862745,0.0039612896,0.8731666667,0.0070553368,0.7117222222,0.0032342925
B1,ResNet18 + CE + SupCon,ALL,6,0.9338888824,0.0326584372,0.9695833524,0.0181563486,0.9271283043,0.0376135060,0.0425485528,0.0071850212,0.8862361111,0.0365170591,0.7176250000,0.0732815490
B1,ResNet18 + CE + SupCon,S1->S2,3,0.9169444442,0.0405717189,0.9616666834,0.0246221543,0.9079589266,0.0476099384,0.0449565826,0.0102135252,0.8670555556,0.0443223932,0.6785555556,0.0787348898
B1,ResNet18 + CE + SupCon,S2->S1,3,0.9508333206,0.0126106096,0.9775000215,0.0054645269,0.9462976821,0.0129552392,0.0401405229,0.0027109780,0.9054166667,0.0162967277,0.7566944444,0.0514491614
B4,ResNet18 + ArcFace,ALL,6,0.9263888995,0.0108610652,0.9638888836,0.0097277880,0.9177154023,0.0122403170,0.0505271942,0.0059449216,0.8700555556,0.0197178477,0.7079305556,0.0312268766
B4,ResNet18 + ArcFace,S1->S2,3,0.9302777847,0.0141011423,0.9663888812,0.0050917719,0.9217688726,0.0152269946,0.0493188609,0.0076373884,0.8762777778,0.0261923087,0.7223611111,0.0416141614
B4,ResNet18 + ArcFace,S2->S1,3,0.9225000143,0.0071199963,0.9613888860,0.0138527450,0.9136619320,0.0096648939,0.0517355275,0.0050641211,0.8638333333,0.0130306796,0.6935000000,0.0090184995
B5,ResNet18 + BNNeck + CE,ALL,6,0.9381944438,0.0141756372,0.9712499976,0.0102164283,0.9320393865,0.0168464973,0.0472490663,0.0056174252,0.8780416667,0.0247508558,0.7264444444,0.0456913153
B5,ResNet18 + BNNeck + CE,S1->S2,3,0.9416666627,0.0052041600,0.9727777839,0.0075154399,0.9364895374,0.0058578097,0.0444453782,0.0062789800,0.8911666667,0.0226059235,0.7501944444,0.0393797690
B5,ResNet18 + BNNeck + CE,S2->S1,3,0.9347222249,0.0209551791,0.9697222114,0.0140518428,0.9275892357,0.0248150300,0.0500527544,0.0039851064,0.8649166667,0.0224429833,0.7026944444,0.0444554500
B6,ResNet18 + BNNeck + ArcFace,ALL,6,0.9220833381,0.0167560067,0.9595833222,0.0109892687,0.9140534973,0.0179741328,0.0526961951,0.0045247275,0.8623333333,0.0211905377,0.6969444444,0.0422670632
B6,ResNet18 + BNNeck + ArcFace,S1->S2,3,0.9155555566,0.0161660980,0.9538888733,0.0115570135,0.9074028012,0.0178158307,0.0534757236,0.0040618705,0.8612222222,0.0205119094,0.6905000000,0.0457516697
B6,ResNet18 + BNNeck + ArcFace,S2->S1,3,0.9286111196,0.0176841987,0.9652777712,0.0084300213,0.9207041934,0.0189096410,0.0519166667,0.0057324612,0.8634444444,0.0264226246,0.7033888889,0.0474178627
B7,ResNet18 + BNNeck + ArcFace + light SupCon,ALL,6,0.9245833357,0.0274507084,0.9629166822,0.0176363814,0.9151383462,0.0302360250,0.0487146359,0.0072057704,0.8703611111,0.0314668109,0.7106805556,0.0648339635
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,3,0.9088888963,0.0321274949,0.9550000032,0.0242813396,0.8976739417,0.0350945592,0.0532777778,0.0070298635,0.8527500000,0.0329678926,0.6814444444,0.0745782742
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,3,0.9402777751,0.0106174981,0.9708333611,0.0000000000,0.9326027507,0.0117855274,0.0441514939,0.0042334436,0.8879722222,0.0214024488,0.7399166667,0.0488102192